Stock,Qty,entry_price,square_off_price,entry_date,settle_date,profit,tradecode,type
,,,,,,,,
POLYCAB,4.0,5095.0,5061.1,2025-03-07 09:15,2025-03-07 15:15,105.0,POL_07/03/25_EDGE_S,S
POLYCAB,5.0,4982.0,4924.95,2025-03-10 11:15,2025-03-10 15:31,250.58, PO_10/03/25_EDGE_S,S
SAIL,231.0,107.86,106.02,2025-03-12 09:58,2025-03-12 11:16,-425.04, SA_12/03/25_EDGE_L_SL,L_SL
IRCTC,36.0,691.0,698.5,2025-03-12 12:16,2025-03-12 15:17,270.0, IR_12/03/25_EDGE_L,L
HEROMOTOCO,6.0,3608.0,3594.25,2025-03-13 09:17,2025-03-13 10:45,-112.75, HE_13/03/25_EDGE_L_SL,L_SL
POLYCAB,4.0,5058.4,5036.25,2025-03-17 11:17,2025-03-07 12:17,60.33,POL_17/03/25_EDGE_S_SL,S_SL
 IRCTC,36.0,693.6,690.95,2025-03-17 10:17,2025-03-17 15:20,60.51, IR_17/03/25_EDGE_S,S
SAIL,235.0,106.35,105.92,2025-03-17 13:21,2025-03-15 13:24,-135.97, SA_17/03/25_EDGE_L,L
  POLYCAB,4.0,5049.9,5060.0,2025-03-18 09:17,2025-03-18 10:55,12.09,  P_18/03/25_EDGE_L,L
 IRCTC,35.0,702.1,703.0,2025-03-18 13:15,2025-03-18 13:39,-65.92, IR_18/03/25_EDGE_S_SL,S_SL
 IRCTC,34.0,718.85,722.2,2025-03-19 12:15,2025-03-19 13:01,-148.2, IR_19/03/25_EDGE_S_SL,S_SL
